,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes,plot
3497,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.0,0.058075929804583426,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.20869565217391306,0.07142857142857142,0.0,0.020876826722338204,0.0,7.770007770007771e-05,0.5,0.8571428571428571,0.0,1.0,0.0,0.1111111111111111,0.0,0.0,1.0
3116,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.4444444444444445,0.3036378794965126,0.3333333333333333,0.18789221114802512,0.14285714285714285,0.26215936529837874,0.1565217391304348,0.3571428571428571,0.20833333333333331,0.04175365344467641,1.0,2.3310023310023313e-05,0.0,0.8571428571428571,0.5825242718446602,1.0,0.2727272727272727,0.1111111111111111,0.4,0.0625,5.0
3467,0.0,0.040257648953301126,0.018402920069761457,0.2753709198813056,0.17391304347826086,0.20833333333333334,0.25106590447832106,0.41025641025641024,0.6666666666666665,0.1825243508144051,0.12820512820512822,0.22480620155038764,0.2857142857142857,0.20926756352765322,0.28695652173913044,0.07142857142857142,0.0,0.04175365344467641,0.25,0.015540015540015542,0.0,0.7999999999999999,0.0,0.3333333333333333,0.09090909090909091,0.0,0.0,0.1875,7.0
1028,0.03488372093023256,0.01610305958132045,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.1815076153486386,0.05128205128205129,0.040236249538575124,0.14285714285714285,0.1011843164309532,0.3130434782608696,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
3846,0.20930232558139533,0.008051529790660225,0.32269915847859026,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.23744840067511236,0.0,0.0,0.024285714285714285,0.0,0.4173913043478261,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.8428571428571429,0.5097087378640777,0.3333333333333333,0.0,0.0,0.0,0.0,10.0
623,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.1111111111111111,0.20893913821501925,0.4256410256410256,0.5902547065337763,0.09523809523809523,1.0,0.0782608695652174,0.42857142857142855,0.9749999999999999,1.0,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.5825242718446602,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0625,2.0
3515,0.11627906976744186,0.01610305958132045,0.004704133271069007,0.6940652818991098,1.0,4.166666666666666e-10,0.0,0.0,0.0,0.12420440449803771,0.10256410256410256,0.07715023994093761,0.23809523809523808,0.16787397953317235,0.4173913043478261,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.8571428571428571,0.33980582524271846,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
3898,0.023255813953488372,0.1610305958132045,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.6666666666666665,0.17573255790308479,0.07692307692307693,0.1509782207456626,0.19047619047619047,0.1402782568701851,0.2608695652173913,0.07142857142857142,0.0,0.0,0.0,0.00038850038850038855,0.0,0.8571428571428571,0.2912621359223301,0.3333333333333333,0.0,0.0,0.0,0.0,7.0
3336,0.0,0.08051529790660225,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.0,0.056672834861825644,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.09565217391304348,0.0,0.0,0.020876826722338204,0.75,0.0271950271950272,1.0,0.8571428571428571,0.0,1.0,0.13636363636363635,0.0,0.0,0.25,1.0
4092,0.023255813953488372,0.1610305958132045,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.0,0.058075929804583426,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.4173913043478261,0.0,0.0,0.020876826722338204,0.25,0.038850038850038855,0.0,0.7999999999999999,0.4854368932038835,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
